state,avg_api
Melaka,46.039165416263245
Kedah,40.367424721283385
Pulau Pinang,46.75176147767619
Johor,42.44788426942672
Kuala Lumpur,50.25801976487241
Putrajaya,50.0863732744818
Selangor,57.32112739576908
Perak,44.473886132003
Negeri Sembilan,47.99854169280254
Pahang,41.32949903325892
Terengganu,39.5392900746753
Kelantan,44.179138945133964
Perlis,38.07172747482673
Sarawak,33.68519419019381
Sabah,30.982808314098484
Labuan,40.0426892311041
