restaurant_name,category,location,dietary_preference,price_range,avg_star,review_count,avg_sentiment,review_count_norm,score
Sips Coffee,Cafe,Sunway Geo Avenue,None,RM1-20,4.962264150943396,53,0.9811320754716981,0.06874189364461739,3.1417137752979465
Sister's food,Seafood/BBQ,Sunway Mentari,None,RM20-40,4.666666666666667,9,0.7777777777777778,0.011673151750972763,2.91958495460441
Snoplus Dessert Cafe,Dessert,Nadayu 28 Dagang Hostel,Muslim-friendly,RM20-40,4.903225806451613,465,0.9698924731182795,0.603112840466926,3.238197564955441
Souper Tang,Malaysian Restaurant,Sunway Pyramid,None,RM1+,4.945945945945946,555,0.9693693693693693,0.7198443579766537,3.292934062467136
Sparkora BBQ Malaysia,Seafood/BBQ,Sunway Pyramid,None,RM1+,4.848,500,0.948,0.648508430609598,3.213127107652399
Subway,Fast Food,Sunway College,Muslim-friendly,RM20-40,2.5208333333333335,48,-0.20833333333333334,0.0622568093385214,1.4968142023346303
Sweet Gather,Cafe,Sunway College,Muslim-friendly,RM20-40,4.027439024390244,328,0.5701219512195121,0.4254215304798962,2.6083370899370473
TGI Fridays,Western/European,Sunway Pyramid,Muslim-friendly,RM40-60,4.876611418047882,543,0.9779005524861878,0.7042801556420234,3.248721972612163
Taco Bell,Fast Food,Sunway Pyramid,Muslim-friendly,RM20-40,2.9064039408866993,203,-0.019704433497536946,0.26329442282749677,1.8067103052142632
Texas Chicken,Fast Food,Sunway Mentari,Muslim-friendly,RM20-40,3.3958944281524928,341,0.19941348973607037,0.44228274967574577,2.1780193677708426
The Brew House,Seafood/BBQ,Sunway Pyramid,None,RM20-40,3.927400468384075,427,0.531615925058548,0.5538261997405967,2.574639219724376
The Mad Alchemy,Cafe,Sunway University,None,RM1-20,4.823529411764706,34,0.9411764705882353,0.04409857328145266,3.046318760967422
The Owls Cafe,Cafe,Sunway Pyramid,None,RM20-40,3.8960573476702507,279,0.5268817204301075,0.36186770428015563,2.5071335927367056
Thyme Out HQ,Western/European,Sunway University,Muslim-friendly,RM20-40,4.474308300395257,506,0.7628458498023716,0.6562905317769131,2.963084490651738
Traffic Bean,Cafe,Sunway University,Muslim-friendly,RM20-40,4.589648798521257,541,0.822550831792976,0.7016861219195849,3.0525934343615964
Ummi Corner,Hawker/Food Court,Sunway Mentari,Muslim-friendly,RM1-20,4.5,8,0.75,0.010376134889753566,2.815094033722438
Vegetarian stall @ Rock Cafe,Vegetarian,Rock Cafe,Vegetarian,RM1-20,4.0,10,0.5,0.01297016861219196,2.478242542153048
VeryThai,Asian,Sunway Geo Avenue,None,RM20-40,3.87603305785124,121,0.4462809917355372,0.1569390402075227,2.431796743522955
Village Roast Duck,Malaysian Restaurant,Sunway Pyramid,None,RM20-40,4.011741682974559,511,0.6086105675146771,0.6627756160830091,2.664030498932689
Washoku Japanese Restaurant,Asian,Sunway University,Muslim-friendly,RM20-40,4.27891156462585,294,0.673469387755102,0.38132295719844356,2.763698086238386
Yakiniku Kuro,Seafood/BBQ,Sunway Pyramid,None,RM40-160,4.733695652173913,184,0.875,0.23865110246433205,3.0311301669204305
Yamaguchi Fish Market 海鲜餐厅,Seafood/BBQ,The Pinnacle Sunway,None,RM1+,3.9680851063829787,94,0.48936170212765956,0.1219195849546044,2.484735215387587
Yeast,Western/European,Sunway Pyramid,Muslim-friendly,RM40-60,4.2368421052631575,76,0.6447368421052632,0.09857328145265888,2.6634591098368485
Zen House,Vegetarian,Sunway Pyramid,Vegetarian,RM20-40,4.03932584269663,178,0.5955056179775281,0.23086900129701687,2.570638598638861
Zhia Kitchen,Malaysian Restaurant,Sunway Industrial Park,None,RM20-40,3.7507987220447285,313,0.4792332268370607,0.4059662775616083,2.423855786642798
dipndip Chocolate cafe,Dessert,Sunway Pyramid,Muslim-friendly,RM20-40,4.0,214,0.5700934579439252,0.2775616083009079,2.5549044207668157
iTOR,Fine Dining/Fusion/Special Occasion,Sunway Geo Avenue,Muslim-friendly,RM20-40,4.859813084112149,107,0.9252336448598131,0.13878080415045396,3.0893680982338747
talker Coffee & Chocolate,Dessert,Sunway Industrial Park,Muslim-friendly,RM1-20,4.426229508196721,61,0.7540983606557377,0.07911802853437094,2.788631966149986
Ăn Viet,Asian,Sunway Pyramid,None,RM20-40,4.218181818181818,440,0.6772727272727272,0.5706874189364461,2.7751718547341113
探鱼烤鱼 • TANYU,Seafood/BBQ,Sunway Pyramid,None,RM1+,4.780626780626781,351,0.9544159544159544,0.45525291828793774,3.125351691110446
第十七层,Seafood/BBQ,Nadayu 28 Dagang Hostel,None,RM80-100,4.340425531914893,329,0.6930091185410334,0.4267185473411154,2.81488632376537
蜀味轩 SHU WEI XUAN,Malaysian Restaurant,Sunway Mentari,None,RM40-60,4.594594594594595,74,0.8378378378378378,0.0959792477302205,2.9064272443649872
