month,pollutant,concentration,monthly_average_api
2017-01,CO,0.6458999999999999,40.84729228112692
2017-01,NO2,0.00788,40.84729228112692
2017-01,O3,0.0164,40.84729228112692
2017-01,PM 10,30.047,40.84729228112692
2017-01,SO2,0.0017000000000000001,40.84729228112692
2018-01,CO,0.6516666666666667,22.259466257258648
2018-01,NO2,0.00765,22.259466257258648
2018-01,O3,0.017750000000000002,22.259466257258648
2018-01,PM 10,24.91916666666667,22.259466257258648
2018-01,PM 2.5,16.25,22.259466257258648
2018-01,SO2,0.001025,22.259466257258648
2019-01,CO,0.6500833333333333,45.00972239758698
2019-01,NO2,0.007191666666666667,45.00972239758698
2019-01,O3,0.018833333333333334,45.00972239758698
2019-01,PM 10,29.159166666666668,45.00972239758698
2019-01,PM 2.5,20.488333333333333,45.00972239758698
2019-01,SO2,0.0010583333333333334,45.00972239758698
2020-01,CO,0.5449166666666667,43.16271519974183
2020-01,NO2,0.0057666666666666665,43.16271519974183
2020-01,O3,0.016166666666666666,43.16271519974183
2020-01,PM 10,19.725833333333334,43.16271519974183
2020-01,PM 2.5,12.292499999999999,43.16271519974183
2020-01,SO2,0.001025,43.16271519974183
2021-01,CO,0.53375,36.44135696278421
2021-01,NO2,0.005691666666666667,36.44135696278421
2021-01,O3,0.016166666666666666,36.44135696278421
2021-01,PM 10,20.513333333333335,36.44135696278421
2021-01,PM 2.5,12.939166666666667,36.44135696278421
2021-01,SO2,0.0011166666666666666,36.44135696278421
2022-01,CO,0.5275833333333333,43.75063744537896
2022-01,NO2,0.006316666666666667,43.75063744537896
2022-01,O3,0.015083333333333334,43.75063744537896
2022-01,PM 10,19.753333333333334,43.75063744537896
2022-01,PM 2.5,12.260833333333332,43.75063744537896
2022-01,SO2,0.0011916666666666666,43.75063744537896
