state,year,avg_api
Johor,2017,32.98262190966587
Johor,2018,35.672368457131064
Johor,2019,54.75370521624887
Johor,2020,42.42721978459349
Johor,2021,46.75442891915674
Johor,2022,41.310417694639966
Kedah,2017,29.26917486805112
Kedah,2018,32.268655490688886
Kedah,2019,50.57639620770919
Kedah,2020,44.01386797724858
Kedah,2021,43.29644943061702
Kedah,2022,47.16962991043143
Kelantan,2017,29.565563703188918
Kelantan,2018,34.19909542577294
Kelantan,2019,54.14973385636905
Kelantan,2020,49.558441656626535
Kelantan,2021,50.22437341528341
Kelantan,2022,53.209714161425595
Kuala Lumpur,2017,33.76442092197114
Kuala Lumpur,2018,42.15182420255583
Kuala Lumpur,2019,64.19189777757163
Kuala Lumpur,2020,54.12188005882387
Kuala Lumpur,2021,55.14908773989073
Kuala Lumpur,2022,55.61223522219999
Labuan,2017,40.0426892311041
Labuan,2018,30.83893110298719
Labuan,2019,45.05867165577977
Labuan,2020,40.92019137633463
Labuan,2021,43.54703196347032
Labuan,2022,39.31064824364075
Melaka,2017,32.09347394637013
Melaka,2018,37.87266238069049
Melaka,2019,59.39249177052943
Melaka,2020,47.89255948210001
Melaka,2021,52.50213319460958
Melaka,2022,47.16044470708873
Negeri Sembilan,2017,33.703091133332556
Negeri Sembilan,2018,38.73502170675875
Negeri Sembilan,2019,60.580693339521375
Negeri Sembilan,2020,50.80690850256278
Negeri Sembilan,2021,53.064611872146116
Negeri Sembilan,2022,56.771809635884715
Pahang,2017,28.901299430071745
Pahang,2018,32.289917890888496
Pahang,2019,55.09354824678159
Pahang,2020,43.68816327686443
Pahang,2021,47.36872888366992
Pahang,2022,39.153626206882066
Perak,2017,33.273976121273535
Perak,2018,36.44199338977603
Perak,2019,54.65919557919917
Perak,2020,47.36073700230854
Perak,2021,48.35096338847939
Perak,2022,50.90418592361151
Perlis,2017,26.43719134641394
Perlis,2018,30.900925244497074
Perlis,2019,46.98458904109589
Perlis,2020,43.16803864302255
Perlis,2021,40.94263865824961
Perlis,2022,43.48111268156
Pulau Pinang,2017,35.59946404909536
Pulau Pinang,2018,37.30462985808504
Pulau Pinang,2019,56.28005932484487
Pulau Pinang,2020,51.523256652244385
Pulau Pinang,2021,50.760074667987595
Pulau Pinang,2022,53.17625973602602
Putrajaya,2017,35.19485627078817
Putrajaya,2018,41.70487811578854
Putrajaya,2019,65.6111561033664
Putrajaya,2020,54.293318184165614
Putrajaya,2021,53.53922843518438
Putrajaya,2022,50.17584002571077
Sabah,2017,22.72787235385553
Sabah,2018,26.14927286386523
Sabah,2019,41.112611592358626
Sabah,2020,32.8860827140284
Sabah,2021,31.038210062216628
Sabah,2022,33.77398934206266
Sarawak,2017,22.33887610193271
Sarawak,2018,29.42830595599496
Sarawak,2019,47.47298156249202
Sarawak,2020,33.094670530805395
Sarawak,2021,35.08599435658797
Sarawak,2022,36.50844394322637
Selangor,2017,57.32112739576909
Selangor,2018,43.8410348014075
Selangor,2019,64.96380325607686
Selangor,2020,56.78220335984834
Selangor,2021,62.313912694436645
Selangor,2022,61.06597987786806
Terengganu,2017,27.390223503273134
Terengganu,2018,31.408326298391135
Terengganu,2019,51.7076103500761
Terengganu,2020,43.13593447335549
Terengganu,2021,43.647575079907334
Terengganu,2022,40.553549471344866
