Year,Melaka,Kedah,Pulau Pinang,Johor,Kuala Lumpur,Putrajaya,Selangor,Perak,Negeri Sembilan,Pahang,Terengganu,Kelantan,Perlis,Sarawak,Sabah,Labuan
2017,32.09347394637013,29.26917486805112,35.59946404909536,32.98262190966587,33.76442092197114,35.19485627078817,57.32112739576909,33.273976121273535,33.703091133332556,28.901299430071745,27.390223503273134,29.565563703188918,26.43719134641394,22.33887610193271,22.72787235385553,40.0426892311041
2018,37.87266238069049,32.268655490688886,37.30462985808504,35.672368457131064,42.15182420255583,41.70487811578854,43.8410348014075,36.44199338977603,38.73502170675875,32.289917890888496,31.408326298391135,34.19909542577294,30.900925244497074,29.42830595599496,26.14927286386523,30.83893110298719
2019,59.39249177052943,50.57639620770919,56.28005932484487,54.75370521624887,64.19189777757163,65.6111561033664,64.96380325607686,54.65919557919917,60.580693339521375,55.09354824678159,51.7076103500761,54.14973385636905,46.98458904109589,47.47298156249202,41.112611592358626,45.05867165577977
2020,47.89255948210001,44.01386797724858,51.523256652244385,42.42721978459349,54.12188005882387,54.293318184165614,56.78220335984834,47.36073700230854,50.80690850256278,43.68816327686443,43.13593447335549,49.558441656626535,43.16803864302255,33.094670530805395,32.8860827140284,40.92019137633463
2021,52.50213319460958,43.29644943061702,50.760074667987595,46.75442891915674,55.14908773989073,53.53922843518438,62.313912694436645,48.35096338847939,53.064611872146116,47.36872888366992,43.647575079907334,50.22437341528341,40.94263865824961,35.08599435658797,31.038210062216628,43.54703196347032
2022,47.16044470708873,47.16962991043143,53.17625973602602,41.310417694639966,55.61223522219999,50.17584002571077,61.06597987786806,50.90418592361151,56.771809635884715,39.153626206882066,40.553549471344866,53.209714161425595,43.48111268156,36.50844394322637,33.77398934206266,39.31064824364075
